MAL_ID|Name|Score|Genres|Type|Episodes|Aired|End|Producers|Licensors|Studios|Source|Duration|Rating|Ranked|Popularity|Members|Favorites|Watching|Completed|On-Hold|Dropped|Plan to Watch|Score-10|Score-9|Score-8|Score-7|Score-6|Score-5|Score-4|Score-3|Score-2|Score-1
1|Cowboy Bebop|8.78|Action, Adventure, Comedy, Drama, Sci-Fi, Space|TV|26|4/3/1998|4/24/1999|Bandai Visual|Funimation, Bandai Entertainment|Sunrise|Original|24 min. per ep.|R - 17+ (violence & profanity)|28|39|1251960|61971|105808|718161|71513|26678|329800|229170|182126|131625|62330|20688|8904|3184|1357|741|1580
5|Cowboy Bebop: Tengoku no Tobira|8.39|Action, Drama, Mystery, Sci-Fi, Space|Movie|1|1/9/2001||Sunrise, Bandai Visual|Sony Pictures Entertainment|Bones|Original|1 hr. 55 min.|R - 17+ (violence & profanity)|159|518|273145|1174|4143|208333|1935|770|57964|30043|49201|49505|22632|5805|1877|577|221|109|379
6|Trigun|8.24|Action, Sci-Fi, Adventure, Comedy, Drama, Shounen|TV|26|4/1/1998|9/30/1998|Victor Entertainment|Funimation, Geneon Entertainment USA|Madhouse|Manga|24 min. per ep.|PG-13 - Teens 13 or older|266|201|558913|12944|29113|343492|25465|13925|146918|50229|75651|86142|49432|15376|5838|1965|664|316|533
7|Witch Hunter Robin|7.27|Action, Mystery, Police, Supernatural, Drama, Magic|TV|26|7/2/2002|12/24/2002|TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment|Funimation, Bandai Entertainment|Sunrise|Original|25 min. per ep.|PG-13 - Teens 13 or older|2481|1467|94683|587|4300|46165|5121|5378|33719|2182|4806|10128|11618|5709|2920|1083|353|164|131
8|Bouken Ou Beet|6.98|Adventure, Fantasy, Shounen, Supernatural|TV|52|9/30/2004|9/29/2005|TV Tokyo, Dentsu||Toei Animation|Manga|23 min. per ep.|PG - Children|3710|4369|13224|18|642|7314|766|1108|3394|312|529|1242|1713|1068|634|265|83|50|27
15|Eyeshield 21|7.95|Action, Sports, Comedy, Shounen|TV|145|4/6/2005|3/19/2008|TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha|VIZ Media, Sentai Filmworks|Gallop|Manga|23 min. per ep.|PG-13 - Teens 13 or older|604|1003|148259|2066|13907|78349|14228|11573|30202|9226|14904|22811|16734|6206|2621|795|336|140|151
16|Hachimitsu to Clover|8.06|Comedy, Drama, Josei, Romance, Slice of Life|TV|24|4/15/2005|9/27/2005|Genco, Fuji TV, Shueisha|VIZ Media, Discotek Media|J.C.Staff|Manga|23 min. per ep.|PG-13 - Teens 13 or older|468|687|214499|4101|11909|81145|11901|11026|98518|11829|16309|20008|13062|5574|3148|1339|484|278|321
17|Hungry Heart: Wild Striker|7.59|Slice of Life, Comedy, Sports, Shounen|TV|52|9/11/2002|9/10/2003|||Nippon Animation|Manga|23 min. per ep.|PG-13 - Teens 13 or older|1317|3612|20470|231|817|13778|828|1168|3879|1123|1777|3102|3075|1286|602|218|88|31|32
18|Initial D Fourth Stage|8.15|Action, Cars, Sports, Drama, Seinen|TV|24|4/17/2004|2/18/2006|OB Planning, Studio Jack|Funimation|A.C.G.T.|Manga|27 min. per ep.|PG-13 - Teens 13 or older|360|1233|117929|979|6082|90967|3053|1356|16471|10948|15820|22379|12912|3874|1236|369|97|48|259
19|Monster|8.76|Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller|TV|74|4/7/2004|9/28/2005|VAP, Shogakukan-Shueisha Productions, Nippon Television Network|VIZ Media|Madhouse|Manga|24 min. per ep.|R+ - Mild Nudity|30|169|614100|29436|64648|214491|47488|23008|264465|77350|60652|43459|22045|8861|4381|2086|882|593|1177
20|Naruto|7.91|Action, Adventure, Comedy, Super Power, Martial Arts, Shounen|TV|220|10/3/2002|2/8/2007|TV Tokyo, Aniplex, Shueisha|VIZ Media|Studio Pierrot|Manga|23 min. per ep.|PG-13 - Teens 13 or older|660|8|1830540|65586|137167|1462223|61734|99806|69610|216866|234481|345563|286175|108155|46886|15477|6098|3582|5310
21|One Piece|8.52|Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen|TV||10/20/1999||Fuji TV, TAP, Shueisha|Funimation, 4Kids Entertainment|Toei Animation|Manga|24 min.|PG-13 - Teens 13 or older|95|31|1352724|126645|887333|33|187919|136245|141194|292445|166186|141755|85424|35342|19019|8201|3675|2616|6340
22|Tennis no Ouji-sama|7.9|Action, Comedy, Sports, School, Shounen|TV|178|10/10/2001|3/23/2005|Production I.G, Nihon Ad Systems|VIZ Media|Trans Arts|Manga|22 min. per ep.|PG-13 - Teens 13 or older|675|1039|141832|3124|11235|76881|12905|12516|28295|9576|12719|19791|16284|6624|3086|1071|443|210|225
23|Ring ni Kakero 1|6.38|Action, Shounen, Sports|TV|12|10/6/2004|12/15/2004|||Toei Animation|Manga|25 min. per ep.|PG - Children|6493|7333|3648|16|170|1333|145|296|1704|69|61|152|260|236|143|88|40|32|28
